file,theorem,kind,n_lemmas,axis1,axis2,verified,lemmas
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6230_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6231_5_6,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6233_5_8,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6235_5_10,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6237_5_12,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6239_5_14,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6240_5_16,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6241_5_18,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_group_cancel_right,_tactus_precondition_britton_via_tower.lemma_group_cancel_right_at_britton_via_tower_6244_5_20,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_hnn_relator_preserves,_tactus_precondition_britton_via_tower.lemma_hnn_relator_preserves_at_britton_via_tower_7262_5_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_inv_shift_word_valid_for_tower,_tactus_postcondition_britton_via_tower.lemma_inv_shift_word_valid_for_tower_at_britton_via_tower_1175_9_5,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_inv_shift_word_valid_for_tower,_tactus_precondition_britton_via_tower.lemma_inv_shift_word_valid_for_tower_at_britton_via_tower_1179_5_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_inv_shift_word_valid_for_tower,_tactus_precondition_britton_via_tower.lemma_inv_shift_word_valid_for_tower_at_britton_via_tower_1180_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_postcondition_britton_via_tower.lemma_no_pinch_action_nontrivial_at_britton_via_tower_7883_9_7,postcondition,13,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;ge_iff_le
britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_precondition_britton_via_tower.lemma_no_pinch_action_nontrivial_at_britton_via_tower_7886_5_2,precondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_false_eq_true
britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_precondition_britton_via_tower.lemma_no_pinch_action_nontrivial_at_britton_via_tower_7887_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_precondition_britton_via_tower.lemma_no_pinch_action_nontrivial_at_britton_via_tower_7888_5_6,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_not_in_left_subgroup_rep_nonempty,_tactus_postcondition_britton_via_tower.lemma_not_in_left_subgroup_rep_nonempty_at_britton_via_tower_2867_9_3,postcondition,14,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;imp_false;not_true_eq_false
britton_via_tower__lemma_not_in_left_subgroup_rep_nonempty,_tactus_postcondition_britton_via_tower.lemma_not_in_left_subgroup_rep_nonempty_at_britton_via_tower_2867_9_4,postcondition,15,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_and;Classical.not_forall;not_imp
