file,theorem,minimal_rung
britton_via_tower__lemma_subgroup_right_cancel,_tactus_postcondition_britton_via_tower,T2 (simp_all/case_split)
britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_britton_via_tower,T2 (simp_all/case_split)
britton_via_tower__lemma_textbook_base_case,_tactus_assert_britton_via_tower,omega
britton_via_tower__lemma_textbook_base_case,_tactus_postcondition_britton_via_tower,T2 (simp_all/case_split)
britton_via_tower__lemma_textbook_base_case,_tactus_precondition_britton_via_tower,T2 (simp_all/case_split)
britton_via_tower__lemma_word_level_bounds,_tactus_postcondition_britton_via_tower,omega
britton_via_tower__lemma_word_level_bounds,_tactus_precondition_britton_via_tower,omega
cohen_bridge__lemma_C_faithful_printable_canonical,_tactus_postcondition_cohen_bridge,T2 (simp_all/case_split)
cohen_bridge__lemma_C_faithful_printable_canonical,_tactus_precondition_cohen_bridge,T2 (simp_all/case_split)
cohen_cs5__lemma_cs5_wbc_split_pred,_tactus_postcondition_cohen_cs5,T2 (simp_all/case_split)
cohen_cs5__lemma_cs5_wbc_split_pred,_tactus_precondition_cohen_cs5,peel∘T1
cohen_cs5_recog__lemma_db_proj_fixes_config,_tactus_postcondition_cohen_cs5_recog,peel∘T1
cohen_cs5_recog__lemma_db_proj_fixes_config,_tactus_precondition_cohen_cs5_recog,T2 (simp_all/case_split)
cohen_cs5_recog__lemma_relabel_col_blocks,_tactus_assert_cohen_cs5_recog,rfl
cohen_cs5_recog__lemma_relabel_col_blocks,_tactus_postcondition_cohen_cs5_recog,peel∘T1
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_assert_cohen_cs5_recog,T2 (simp_all/case_split)
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_postcondition_cohen_cs5_recog,T2 (simp_all/case_split)
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_precondition_cohen_cs5_recog,T2 (simp_all/case_split)
cohen_cs6__lemma_C_faithful,_tactus_postcondition_cohen_cs6,T2 (simp_all/case_split)
cohen_cs6__lemma_C_faithful,_tactus_precondition_cohen_cs6,T2 (simp_all/case_split)
cohen_cs7__lemma_C_faithful_printable,_tactus_postcondition_cohen_cs7,T2 (simp_all/case_split)
cohen_cs7__lemma_C_faithful_printable,_tactus_precondition_cohen_cs7,T2 (simp_all/case_split)
cohen_cs7__lemma_h3_upto_gens_match,_tactus_postcondition_cohen_cs7,T2 (simp_all/case_split)
cohen_layer05__lemma_c0_embeds_in_c_iff,_tactus_postcondition_cohen_layer05,T2 (simp_all/case_split)
cohen_layer05__lemma_c0_embeds_in_c_iff,_tactus_precondition_cohen_layer05,T2 (simp_all/case_split)
cohen_layer05__lemma_rho_sym_a,_tactus_postcondition_cohen_layer05,omega
cohen_retraction__lemma_config_word_no_c,_tactus_postcondition_cohen_retraction,T2 (simp_all/case_split)
cohen_retraction__lemma_config_word_no_c,_tactus_precondition_cohen_retraction,T2 (simp_all/case_split)
coset_group__lemma_assoc_lhs,_tactus_postcondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_assoc_lhs,_tactus_precondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_assoc_trace_chain,_tactus_postcondition_coset_group,peel∘T1
coset_group__lemma_assoc_trace_chain,_tactus_precondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_coset_mul_well_defined,_tactus_postcondition_coset_group,omega
coset_group__lemma_coset_mul_well_defined,_tactus_precondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_inv_word_traceable,_tactus_postcondition_coset_group,peel∘T1
